['new', 52375]
['seged', 101]
['`amara', 101]
['dEmokratik', 100]
['brazil', 100]
['feqeq', 100]
['mskrnet', 99]
['hulegeb', 99]
['mubarek', 99]
['sinesa', 99]
['gWender', 98]
['^sefer', 98]
['bEtemeng^st', 97]
['tegbarawinet', 97]
["'aCewawet", 97]
['dejazmac', 97]
['HgWec', 97]
["se'ade", 97]
['blEr', 97]
['msreta', 96]
['`arebiya', 96]
['Hzbe', 96]
['sa`udi', 96]
['nTre', 96]
['gemeda', 96]
['^Selot', 96]
["'injiner", 95]
['fe^Smewal', 95]
['rzmet', 95]
['Habt', 95]
['park', 95]
['mewa', 95]
['niw', 95]
['rikerd', 93]
["sr'at", 93]
['Ha^sab', 93]
['fyel', 93]
['seb', 93]
['merHagbr', 92]
['tehadso', 92]
['muger', 92]
['xeqeT', 92]
['`amd', 92]
['sawa', 92]
['snesr`at', 91]
["'awstewal", 91]
['feqadeNnet', 91]
["'amanu'El", 91]
["'amenEta", 91]
['darfur', 91]
['profExnal', 90]
['mezagbt', 90]
['mansat', 90]
['bogale', 90]
['york', 90]
['jemal', 90]
['jibuti', 90]
['keza', 90]
['yef', 90]
['mestedader', 89]
["'ElEktrik", 89]
['t`gst', 89]
['nayjEriya', 89]
['mewa`le', 89]
['midrok', 89]
['ge^Sta', 89]
['leta', 89]
['xr', 89]
['dre', 89]
["'alamudi", 88]
['xraro', 88]
['qeTaynet', 87]
['persent', 87]
['moqadixo', 87]
['tensay', 87]
["dE'Eta", 87]
['yele', 87]
["'axenafinet", 86]
["'omar", 86]
['beS', 86]
["'ere", 86]
['manEjment', 85]
['temetto', 85]
['demeqsa', 85]
['jenEral', 85]
["'abdi", 85]
['tenesaxnet', 84]
['selEda', 84]
['kongo', 84]
['^Sehafi', 84]
["'aydel", 83]
['ysHaq', 83]
['rehab', 83]
['nefse', 83]
['vila', 83]
['dima', 83]
['^Seb', 83]
['`mnet', 82]
['gambEla', 82]
['TEnnet', 82]
['mekane', 82]
['gulEd', 82]
['meswa`t', 81]
['weyzerit', 81]
['menbere', 81]
['megn^st', 80]
["'alagbab", 80]
['`ayneteNa', 80]
["'aTnet", 80]
['Tebebt', 80]
["r'se", 80]
['ndfe', 80]
['haq', 80]
['bewe', 80]
['yeS', 80]
['gWe^sa', 80]
['miliyard', 79]
['r`yote', 79]
['sumaliya', 79]
['tekeste', 79]
['nebiyat', 79]
['`rmja', 79]
['^Shfet', 79]
['patrik', 79]
['tenesa', 79]
['tkEt', 79]
['musa', 79]
['^sew', 79]
["'asasabinet", 78]
['fEstival', 78]
['poletikeNa', 78]
['m^sTir', 78]
["'aTnt", 78]
['so^st', 78]
['korya', 78]
['welel', 78]
['wanNa', 78]
['bet', 78]
['yuro', 78]
['maHbereseb', 77]
['liqawnt', 77]
['britanya', 77]
["'invest", 77]
['mnnet', 77]
["'aHmed", 77]
['khdet', 77]
['seqoqa', 77]
['pawl', 77]
['haq', 77]
['tun', 77]
['me^SHEt', 76]
['qurT', 76]
['ma`kelat', 75]
['tanzaniya', 75]
["'afewerq", 75]
["gebre'ab", 75]
['gErhart', 75]
["tel'ko", 75]
["'ih'apa", 75]
["'igad", 75]
['`yta', 75]
['mknayat', 74]
['sponser', 74]
["'afeguba'E", 74]
['kilomEtr', 74]
['musTefa', 74]
['sbhat', 74]
['te`let', 74]
['sayt', 74]
["'aT", 74]
['wZnbr', 73]
["'okElo", 73]
['wuTEt', 73]
['gerima', 73]
['hElikopter', 72]
["lu'alawinet", 72]
['sebsabinet', 72]
['websayt', 72]
['qurTeNa', 72]
['tiyatr', 72]
['tzbt', 72]
['seyd', 72]
['behWila', 72]
["'aziz", 72]
["'ilala", 72]
['wugiya', 72]
['fsha', 72]
['hul', 72]
['qene', 72]
["'obo", 72]
["'on", 72]
["'Ekspert", 71]
['meweyayet', 71]
["'atklt", 71]
["te^S'no", 71]
['linesa', 71]
['moter', 71]
['`abiy', 71]
['dibaba', 71]
['godel', 71]
['woc', 71]
['liqemenbernet', 70]
["'ale'agbab", 70]
['ha^sab', 70]
['^se`at', 70]
['riyal', 70]
["'ameS", 70]
['wenji', 70]
['mece', 70]
["ke'a", 70]
['jma', 70]
["'alemseged", 69]
['wbxet', 69]
['Tmret', 69]
['hi^sab', 69]
['qoTera', 69]
['bhEr', 69]
['keze', 69]
["'andund", 68]
['kEmikal', 68]
["'instityut", 67]
["'azegajnet", 67]
['fotograf', 67]
["'iHadEg", 67]
["'ithad", 67]
['hbre', 67]
['hEg', 67]
['SeT', 67]
["'astebabarinet", 66]
["'injinering", 66]
['dipartment', 66]
["'alebNnet", 66]
['liverpul', 66]
["'al'amudi", 66]
['mehamed', 66]
['mahder', 66]
['werld', 66]
['cel', 66]
['gaza', 66]
["'adigrat", 65]
['tefe^Seme', 65]
['tnkosa', 65]
["'awegeze", 65]
['melke', 65]
['^sened', 65]
['super', 65]
["sa'ol", 65]
["'ayvi", 65]
['dqet', 65]
['gumuz', 65]
['mEga', 65]
['q^S', 65]
['lu`alawinet', 64]
["'olbrayt", 64]
['mefenqle', 64]
["'abdulahi", 64]
["'Erport", 64]
['primiyer', 64]
['rkWset', 64]
['qusl', 64]
['gWedel', 64]
['sen', 64]
['keq', 64]
["'adraginet", 63]
['tranzit', 63]
["'afeguba`E", 63]
['glSnet', 63]
['taktik', 63]
['gbgb', 63]
['flset', 63]
['Hayl', 63]
["'iyad", 63]
['jjga', 63]
['fsHa', 63]
['not', 63]
['zor', 63]
["'olimpik", 62]
['mlmela', 62]
["'amba^sader", 61]
['propoganda', 61]
['rikord', 61]
['l`le', 61]
['^sqay', 61]
['serT', 61]
['najaf', 61]
['dgWema', 61]
['meko', 61]
['beq', 61]
['Hawaryat', 60]
['holand', 60]
['jEneral', 60]
['lorEt', 60]
['^slt', 60]
['^ha^sab', 60]
['qer', 60]
["'abo", 60]
['sEminar', 59]
["'arduf", 59]
['^sabiya', 59]
['xkuca', 59]
["'iyob", 59]
['zelel', 59]
['grik', 59]
['piter', 59]
['moq', 59]
["'omo", 59]
['yeko', 59]
['din', 59]
['norwEy', 58]
["'obneg", 58]
['yunisEf', 58]
['haset', 58]
['hzbe', 58]
['qunCo', 58]
['fasil', 58]
['kedo', 58]
['kopi', 58]
["'asgedajnet", 57]
['qurTeNnet', 57]
['tekesete', 57]
["'Efert", 57]
['metto', 57]
['tekl', 57]
['`ameS', 57]
['mer', 57]
['mis', 57]
['yemi', 57]
['yewe', 57]
['tmrht', 56]
['wCguday', 56]
['meTaTf', 56]
['meShaf', 56]
["^sr'at", 56]
['ynesal', 56]
['seded', 56]
["'oyro", 56]
['`abay', 56]
['dm^Se', 56]
['^SHuf', 56]
['newa', 56]
['yH', 56]
['gez', 56]
['xbrteNnet', 55]
['tenestewal', 55]
['mEksiko', 55]
['sekend', 55]
['te^satfo', 55]
["'awsto", 55]
["'i^semako", 55]
['`lqit', 55]
['gebir', 55]
['tha', 55]
['kod', 55]
['gebremesqel', 54]
['CerqaCerq', 54]
["'asebaseb", 54]
["'iseb'awi", 54]
["'ikonomik", 54]
['hatEmala', 54]
['HSanat', 54]
['misTr', 54]
['maykl', 54]
['sEkter', 54]
["'iTalya", 54]
["'ama^Si", 54]
["'izE'a", 54]
['gandi', 54]
['lEt', 54]
['tum', 54]
['ministrnet', 53]
['frankfert', 53]
['ripublik', 53]
['siyakahid', 53]
['tamaNnet', 53]
['trEding', 53]
['t`ynte', 53]
['gnuNnet', 53]
['Harnet', 53]
["terad'o", 53]
['yuganda', 53]
['fidelat', 53]
['maliya', 53]
["'amudi", 53]
['kongWe', 53]
['wst', 53]
['TegWr', 53]
['tefe^Saminet', 52]
['nEzerland', 52]
["'arbamnC", 52]
['me^Sedaja', 52]
['skEtama', 52]
['burundi', 52]
['mru^S', 52]
['samora', 52]
['kost', 52]
['gEtaye', 52]
['Teleq', 52]
['Tqma', 52]
['pakEj', 52]
["'ambagenennet", 51]
['moHamed', 51]
['tllq', 51]
['qereb', 51]
['dilbo', 51]
['dbaq', 51]
['sme', 51]
['qeT', 51]
['yeme', 51]
['pana', 51]
['menaheriya', 50]
['birokrasi', 50]
['tEknikal', 50]
['wesaNnet', 50]
['yfe^Semal', 50]
['Haylat', 50]
['HEktar', 50]
["me'aHd", 50]
['ma`qef', 50]
['tripoli', 50]
['robit', 50]
['xmq', 50]
['qemer', 50]
['feqade', 50]
['sura', 50]
['saba', 50]
['biCa', 50]
['Tha', 50]
["'astawuqewal", 49]
['weldesemayat', 49]
["'Eksport", 49]
['megnst', 49]
["'iseb`awi", 49]
['gl^Snet', 49]
['meklit', 49]
['bknet', 49]
["'awCw", 49]
['waqjra', 49]
['yhunta', 49]
['jeneral', 49]
['gbyt', 49]
['Hbre', 49]
['mEjEr', 49]
['setit', 49]
['stEt', 49]
['xirak', 49]
['qrite', 49]
['nayl', 49]
["'i'ag", 49]
['dEsk', 49]
['Tomar', 49]
['sodo', 49]
['weldemesqel', 48]
['mEkanayzd', 48]
["r'seketema", 48]
["'anesaxnet", 48]
["'alturabi", 48]
['zelaqinet', 48]
['hSanat', 48]
['meweyaya', 48]
['me^SHaf', 48]
['maskEja', 48]
["'anwar", 48]
['hosni', 48]
['neqel', 48]
["'a^sefa", 48]
["'i^sepa", 48]
['wediH', 48]
['mir', 48]
["'Esi", 48]
['yep', 48]
['for', 48]
['prEzdantnet', 47]
['tema^Snewal', 47]
['muHamed', 47]
['xroder', 47]
['kominiti', 47]
['m`te', 47]
['s`l', 47]
['vidiyo', 47]
['Naqoro', 47]
["'abiy", 47]
["'akale", 47]
['`awde', 47]
['Tebeq', 47]
['Twat', 47]
['ler', 47]
['^sEra', 47]
['yes', 47]
['^Sega', 47]
['nabukedene^Sor', 46]
["'internEt", 46]
['wTEtamanet', 46]
['^smmnet', 46]
['soxalist', 46]
['horst', 46]
['lEgwEla', 46]
["m'raf", 46]
['soviyet', 46]
['qurNt', 46]
['boyng', 46]
['viktor', 46]
['siyz', 46]
["'asosa", 46]
['`wq', 46]
['gorf', 46]
['sado', 46]
["ke'i", 46]
["meswa'tnet", 45]
['tkkleNanet', 45]
['stratEjik', 45]
['prEzidunt', 45]
["mela'kt", 45]
['frdbEt', 45]
['me`ahd', 45]
['xgxg', 45]
['brEmer', 45]
["'a`mro", 45]
['donald', 45]
['merha', 45]
['moroko', 45]
['sergWe', 45]
['tiwori', 45]
["'ahaz", 45]
["'ambo", 45]
["'awa^sa", 45]
["'End", 45]
['kidane', 45]
["le'i", 45]
["qu'o", 45]
["'ana", 45]
['kem', 45]
['kewe', 45]
['kEk', 45]
['`z', 45]
['Tara', 45]
["'agarnet", 44]
['Harnet', 44]
['teklay', 44]
["'aleziya", 44]
['Hamsa', 44]
['munik', 44]
['quCt', 44]
["vi'o'E", 44]
["'irob", 44]
['jarso', 44]
['^Sehafi', 44]
['fset', 44]
['moga', 44]
["'n", 44]
['yesi', 44]
['temesasaynet', 43]
['qumneger', 43]
['merkato', 43]
['mandEla', 43]
['rEwter', 43]
['qulqul', 43]
['mejid', 43]
['marc', 43]
['^sadr', 43]
['quraNa', 43]
['biqila', 43]
["'alula", 43]
['`hud', 43]
['Tariya', 43]
['^Snse', 43]
['pasta', 43]
['rit', 43]
['kEr', 43]
['gana', 43]
['tesemartewal', 42]
['me^sriyabEt', 42]
["'awtomobil", 42]
['riportaZ', 42]
['bitweded', 42]
["'arapmoy", 42]
["'andmta", 42]
['dimokrat', 42]
['doktrEt', 42]
['hawlt', 42]
['qerebEta', 42]
['b^srat', 42]
['tehadso', 42]
['grmay', 42]
['qoraT', 42]
['`abal', 42]
['gelila', 42]
['polit', 42]
['dub', 42]
["'ikonomist", 41]
['kompiwter', 41]
['wengElawit', 41]
['wegenawinet', 41]
['meSHaft', 41]
['mastewal', 41]
["'aljEriya", 41]
['komander', 41]
['mahmud', 41]
["'aleqT", 41]
["'inerji", 41]
['^sahle', 41]
['rayt', 41]
['r`^se', 41]
['xofEr', 41]
['wski', 41]
['gilay', 41]
['^Sedeqe', 41]
['mEy', 41]
['qom', 41]
['beko', 41]
['toga', 41]
['kuba', 41]
['swizerland', 40]
["'askiyajnet", 40]
['mestekakel', 40]
['bHErawinet', 40]
['`alemseged', 40]
['meq^seft', 40]
["'EtamaZor", 40]
['Hggat', 40]
['minlik', 40]
['trfama', 40]
["'abeyt", 40]
['hgWec', 40]
['Hi^sab', 40]
['semere', 40]
['sivik', 40]
['soriya', 40]
['bEst', 40]
['bruk', 40]
['NayoHa', 40]
['`areb', 40]
['`geda', 40]
['dubay', 40]
['tola', 40]
['cad', 40]
['kine', 40]
['yew', 40]
['demo', 40]
['gWesa', 40]
['burkinafaso', 39]
['teTeqaminet', 39]
['minister', 39]
['maHberat', 39]
["de'ihdEg", 39]
['me^Shaf', 39]
['blEyer', 39]
['teHadso', 39]
['^hbrete', 39]
["'azmad", 39]
['`Tret', 39]
['fakulti', 39]
['pawnd', 39]
['xengWe', 39]
['canal', 39]
['Snse', 39]
['ledo', 39]
['beye', 39]
['bon', 39]
['wul', 39]
['dila', 39]
['go^sa', 39]
["tefeTro'awi", 38]
["'awgzewal", 38]
['tesemarto', 38]
["'aCarinet", 38]
['^SeHafinet', 38]
['lEguwEla', 38]
["ma'kel", 38]
['blxt', 38]
['garang', 38]
['pEnalti', 38]
['lEter', 38]
['mejd', 38]
['skEt', 38]
['qewTi', 38]
['qr^S', 38]
["'aboy", 38]
["'agere", 38]
["'umer", 38]
['wseT', 38]
['`aqef', 38]
['Zak', 38]
['jiji', 38]
['fige', 38]
['teklehaymanot', 37]
['bHErteNnet', 37]
['t`g^st', 37]
["'antonEli", 37]
["'akawnt", 37]
["'oktober", 37]
['mezgebe', 37]
['musEvini', 37]
["mu'amer", 37]
['mnlik', 37]
['sekond', 37]
['qedemt', 37]
['qusleNa', 37]
['^habret', 37]
["'aryal", 37]
['wgzet', 37]
['`qubay', 37]
['gb`at', 37]
['riyad', 37]
['sEnEt', 37]
["'abuja", 37]
["'ilama", 37]
['dubale', 37]
['jebha', 37]
['jEnEv', 37]
['^sle', 37]
['sele', 37]
['suna', 37]
['xh', 37]
['bete', 37]
['bEz', 37]
['bob', 37]
['nita', 37]
['jun', 37]
['ramsfEld', 36]
['tedemaCnet', 36]
['neq`aTbeb', 36]
['memakrt', 36]
['niwkasl', 36]
["'ityoPiya", 36]
['zereNnet', 36]
['robErto', 36]
['tema^Sno', 36]
["'oromNa", 36]
['`lbat', 36]
['haqeNa', 36]
['merho', 36]
['moreda', 36]
['moged', 36]
['xeqeTa', 36]
['tujar', 36]
["'azEb", 36]
['pEter', 36]
['port', 36]
['leq', 36]
['siti', 36]
["'ab", 36]
["'y", 36]
['`b', 36]
['gala', 36]
['gna', 36]
['Hgemeng^st', 35]
['qalemeTeyq', 35]
['tEkniwoloji', 35]
['trEyning', 35]
["'axebarinet", 35]
['wendmamac', 35]
['tenterso', 35]
['nayjeriya', 35]
['nEtwork', 35]
["mel'ake", 35]
['mer`d', 35]
["te'aqbo", 35]
["'abreha", 35]
['gWlmasa', 35]
['meHEd', 35]
['^sefera', 35]
['sela^sa', 35]
['xufEr', 35]
['bTul', 35]
["ze'ab", 35]
['jmla', 35]
['gulEt', 35]
['Haya', 35]
['raw', 35]
['prEzidantnet', 34]
['testewlewal', 34]
['mestengdo', 34]
['snemgbar', 34]
['temsalEt', 34]
["'ayneteNa", 34]
["'imatelfe", 34]
['Telatnet', 34]
['Htmet', 34]
['mobayl', 34]
['^hafrete', 34]
["'abekro", 34]
['yunikod', 34]
['gedamat', 34]
['hagere', 34]
['mo`ab', 34]
['qende', 34]
["'aqme", 34]
["'awel", 34]
["'a^Sefa", 34]
["'ist", 34]
['`amete', 34]
['filip', 34]
['rino', 34]
['xfa', 34]
['gini', 34]
['tewedadarinet', 33]
['dayrEktorEt', 33]
['tekleweld', 33]
["'al'ithad", 33]
["'asteduduri", 33]
['debrezeyt', 33]
['melkteNa', 33]
['brgadEr', 33]
["'abubeker", 33]
["'abisiniya", 33]
['HweHat', 33]
['vEnger', 33]
['ksret', 33]
['zerzer', 33]
['diskur', 33]
['munir', 33]
['soxal', 33]
['bEnc', 33]
['bdg', 33]
['nijer', 33]
["'abko", 33]
['kEniya', 33]
['`awlo', 33]
['zehEg', 33]
['gumz', 33]
['parma', 33]
['HEdo', 33]
['bye', 33]
['tivi', 33]
['cew', 33]
["'za", 33]
['keS', 33]
['^SeT', 33]
['tewedajnet', 32]
['ystewalal', 32]
['ftHawinet', 32]
['lEgwayla', 32]
['tmHrt', 32]
['ne^Sebraq', 32]
["'al`azar", 32]
["'a^Sn'ot", 32]
["'ElEtrik", 32]
["'Ec'ayvi", 32]
["me'ahd", 32]
['sistani', 32]
['smeTr', 32]
['brundi', 32]
['ten^say', 32]
['te`amr', 32]
['neqemt', 32]
['neqefEta', 32]
['niyork', 32]
['norowal', 32]
["'anbe^sa", 32]
["'oHdEd", 32]
['yluNta', 32]
['demasqo', 32]
['lsane', 32]
['meCw', 32]
['se`id', 32]
['sawdi', 32]
['sadar', 32]
['nasr', 32]
["'arap", 32]
['werro', 32]
['wesib', 32]
['`arma', 32]
['dEyli', 32]
['jfar', 32]
['san', 32]
['bede', 32]
['kep', 32]
['jet', 32]
["'aderadarinet", 31]
['johansberg', 31]
['meng^ste', 31]
['^senTereZ', 31]
['bruksEl', 31]
["'adragWet", 31]
['partinet', 31]
